Page,Time (s),Classification,Summary
11,16.30,Bouwplan aanvraag voor sociale woningbouw,"Het document is een aanvraag voor een bouwplan ter invulling van het soortingsregime sociale woningbouw, waarbij de gemeente gevraagd wordt om spoedige afgifte van de vereiste verklaringen van geen bezwaar. De aanvraag is rechtstreeks naar de hoofdingemeer-directeur van de volkshuisvesting en de bouwnijverheid in Gelderland gestuurd."
12,12.15,Administrative Decision,"This is an official letter from the Province of Gelderland, the College of Burgemeester en Wethouders of the municipality of BLST, regarding the granting of a building permit for a residential construction project involving 27 housing units in the Wagenmakerstraat area, subject to compliance with existing regulations and conditions."
13,11.99,Meeting Agenda Item,"This is an agenda item form for a meeting held on July 1, 1986, where the main topic discussed was the agreement for a report to be prepared for the council. The form includes checkboxes for various actions such as agreeing, informing, discussing, and signing, with some marked as completed."
14,11.01,Administrative Notice,"The document is an administrative notice from the Gemeente Elst regarding the payment of leges en waarborgsom for the construction of 27 housing units on specific parcels in Elst, with a request for payment within two weeks or revocation of permission."
15,10.05,VOLTOOIINGSVERKLARING,"A completion declaration for the construction of 27 housing units in Elst, signed by the director of municipal works on November 17, 1987."
16,10.82,Gemeentelijke besluit,"Besluit van de gemeente Elst over vergunning en vrijstelling voor bouwen in een bepaald gebied, waarbij de bestemmingsplannen en wetgeving worden overwogen."
17,11.07,Bouwvergunningbesluit,"Besluit over bouwvergunning voor een woning in Elst, dat bevat de aanvraag, de toestemming van de burgemeester en de afkondiging van de beslissing."
18,13.24,Statistiche Berekening Prefab,"This is a technical engineering report for the static calculation of a prefab building project, dated 27-03-1987, involving 27 prefabricated houses in Elst. The report includes an address section for ADVIESBUREAU W.J. BRESSER b.v., and a signature section with a stamp indicating approval or review."
19,11.33,Construction Engineering Report,"This technical report covers structural engineering calculations for a residential building in Elst, including material quality standards, loadings, and unit weights according to Dutch engineering codes. It also mentions the use of professional computer software for analysis and lists standard units of measurement used."
20,9.62,Engineering Design Notes,"Handwritten technical notes for console marks XIV and XV, detailing structural dimensions, material types, and load calculations for concrete, steel, and wood construction elements."
21,9.22,Engineering calculation sheet,"Handwritten technical calculations for structural elements, including load distribution, material properties, and structural analysis for console marks XVII and XVIII."
22,10.22,Engineering calculation sheet,"The document contains detailed engineering calculations for a structural component, including material properties, load analysis, and structural dimensions. It includes handwritten notes and equations related to force distribution, material strength, and structural integrity."
23,9.42,Engineering Design Document,"Handwritten technical notes for structural engineering, including load calculations, material properties, and design parameters for a concrete structure component."
24,11.89,Engineering calculation sheet,"The document contains detailed engineering calculations for console members XX and XXX, including loadings, schematics, and structural dimensions. It is part of a technical report or design manual for concrete, steel, and timber construction, authored by Ing. F. Wiggers-Varsseveld."
25,9.91,Engineering calculation sheet,"This technical document contains detailed engineering calculations for structural elements, including material properties, dimensions, and loadings, related to a building project in Eindhoven. It includes handwritten notes and diagrams for reference and analysis."
26,9.41,Engineering Drawing,"Handwritten technical notes for structural engineering, including console and gallery plate designs, material specifications, and calculation details for concrete, steel, and wood construction."
27,8.85,Engineering Design Notes,"Handwritten technical notes for structural engineering, including load calculations, material properties, and structural layout for different plate designs."
28,9.10,Engineering Design Document,"Handwritten technical notes for structural analysis, including load calculations, material properties, and structural element dimensions for a galery plate marked V."
29,8.67,Engineering Drawing,"Hand-drawn technical drawings for galery plates, showing schematics, loading conditions, and structural calculations for two different plate marks."
30,9.77,Engineering Drawing,"This technical drawing contains structural calculations, loadings, and schematic diagrams for a building component, likely related to columns or beams, with reference to specific sections and materials such as concrete, steel, and wood."
31,11.82,Engineering Drawing,"This technical drawing is related to structural engineering, specifically for a building component labeled 'plaatkap'. It includes calculations for oversteek (overhang), voids, and a balcony plate, with reference to materials such as concrete, steel, and wood. The drawing also contains a schematic diagram and notes on dimensions and material properties."
32,8.34,Engineering calculation sheet,"Handwritten technical calculations for structural engineering, including material properties, dimensions, and load conditions for a building component."
33,8.89,Engineering Drawing,"Handwritten technical notes for structural engineering, including balcony plate designs, loading calculations, and beam dimensions for a building project."
34,8.45,Engineering calculation sheet,"Handwritten technical notes for structural engineering calculations, including material properties, dimensions, and structural analysis results for a building component."
35,9.38,Berekening fundering woningwetwoningen,Berekening t.b.v. de fundering voor woningwetwoningen aan de Wagemakersstraat te Elst.
36,10.89,Technical report,"A technical report detailing structural load calculations for a building, including floor, wall, and roof loads, as well as material strength values. The report is in Dutch and includes calculations for various structural elements such as floors, walls, and roofs, with specific load values per square meter."
37,13.19,Engineering calculation sheet for house construction,"The document contains detailed engineering calculations for structural elements such as walls, floors, and roofs, including material weights, dimensions, and total loads per square meter. It is part of an advice bureau report by W.J. Bresser b.v., focusing on house construction."
38,13.80,Engineering calculation sheet,"The document contains detailed engineering calculations for structural loadings, including floor slabs, walls of a building, and trapezium/house lift, with various dimensions, materials, and load values in kilonewtons per square meter."
39,16.92,Engineering calculation sheet,"This technical document from Adviesbureau W.J. Bresser b.v. contains detailed structural engineering calculations for various building components, including strook (beams), kopgevel (front facade), and bouwmuur naast entree's (wall next to entrance). The calculations include dimensions, material weights, and total gravitational forces per square meter for each component."
40,12.96,Engineering calculation sheet,"This technical sheet from Adviesbureau W.J. Bresser b.v. contains detailed structural engineering calculations for a building project, including load distribution, material properties, and structural dimensions for various elements such as walls, beams, and columns. The calculations include load values per square meter, structural heights, and material strengths, all relevant to the design of a residential building in Elst."
41,9.99,Engineering calculation sheet,"This technical document contains detailed engineering calculations for structural analysis, including material properties, loadings, and structural dimensions for a building component. It includes various formulas, values, and notes related to structural mechanics and construction design."
42,8.99,Berekening vloeren woningen,Berekening t.b.v. de vloeren voor 27 woningen aan de Wagenmakerstraat te Elst.
43,12.76,Engineering calculation sheet,"This technical document contains detailed structural engineering calculations for a building project, including load distribution, material properties, and structural analysis for various components such as floor slabs and beams. It includes specific values for loads per square meter, moment values, and minimum area requirements for structural elements. The calculations are referenced to computer-generated data and are part of a larger structural analysis report."
44,10.86,Technical calculation sheet for structural engineering,"The document contains detailed technical calculations related to structural engineering, including material properties, load values, and structural analysis results for a specific project. It includes various mathematical equations and reference numbers for construction elements such as beams, columns, and connections."
45,13.44,Engineering calculation sheet,"This technical document contains detailed engineering calculations for structural analysis, including moments, deflections, and material properties for various structural elements such as columns, beams, and sashangers. It is likely used in the design or analysis of a building structure."
46,11.37,Engineering calculation report,"This technical document contains detailed structural engineering calculations for a building project, including load values, material properties, and structural analysis results for various components such as columns, beams, and floors. It is signed by an engineer and dated January 6, 1987."
47,14.02,Engineering Design Documentation,"This technical document appears to be an engineering design sheet for a structural component, likely related to a building or construction project. It includes detailed information about the structure's topology, material properties, and loading conditions, which are essential for structural analysis and design. The document is specific to a particular project location and contains technical data such as material types, connection points, and load values necessary for structural engineers to analyze and ensure the structural integrity of the component."
48,10.80,Technical Report,"This technical report contains detailed structural analysis data, including maximum translations and rotations in joints, nodal displacements, and reaction forces for a specific engineering project. The report is likely used for structural engineering purposes, providing technical specifications for design or maintenance."
49,12.72,Engineering Design Document,"This technical document appears to be an engineering design report for a building project, specifically detailing structural elements such as columns, beams, and their dimensions, material types, and load conditions. It includes tables listing structural members, their locations, materials, and dimensions, as well as material property tables and loading conditions. The document is likely used for structural analysis and design verification."
50,11.76,Engineering Report,"This technical report lists various structural elements, their types, reference numbers, moments, and last types for a building project at Wagenmakersstraat Elst. Each element is categorized by its location (N.L. Veld), and the report includes columns for type, reference number, moment, and last type."
51,11.91,Engineering Report,"This technical report from Adviesbureau Bresser BV details structural analysis results for two different vehicle types, specifically their moment values at various velocities. The report includes data for BEL. GEVAL vehicles at N.L. VELD 8 and N.L. VELD 9, with moment values recorded for each."
52,9.26,Technical Report,"The document lists maximum translations and rotations in nodes for various building elements, along with corresponding displacement values. It appears to be a technical report or engineering analysis related to structural engineering."
53,13.92,Spreadsheet,"The document is a detailed spreadsheet listing various columns such as N/D/M, IN KNOOPEN, B.O., S1, KNP, NI/NJ, DI/DJ, MI/MJ, containing numerical values for different entries. It appears to be related to a project or technical analysis, possibly for a building or construction site, given the reference to Wagenmakersstraat Elst and ESA 3 scia-Blad 7."
54,14.76,Statistical Table,"The document presents a statistical table titled ""Adviesbureau Bresser BV Project: 27 WON. WAGENMAKERSSTRAAT ELST 86083 ESA 3 scia - Blad 8"" listing various values for N/D/M/ IN KNOOPEN, including columns for B.G. ST., KNP, NI/NJ, DI/DJ, and MI/MJ, with numerical data for different combinations of numbers in each column."
55,10.40,Technical Table,"A technical table listing various data points for different combinations of B.G., ST, KNP, NI/NJ, DI/DJ, and MI/MJ, likely related to a project or experiment described in the header."
56,13.19,Technical Report,"This technical report contains detailed data tables related to a project titled ""27 WON. WAGENMAKERSSTRAAT ELST"" by Adviesbureau Bresser BV, including columns labeled N/D/M/ IN KNOOPEN, O.G. ST., KNP, NI/NJ, D1/D3, MI/M1, and various numerical values for each row."
57,10.27,Technical Table,"A technical table listing various measurements and values for different combinations of B.G. ST, KNP, NI/NJ, D1/D3, and MI/MU, likely related to engineering or scientific data analysis."
58,9.93,Engineering Report,"This technical report contains detailed structural analysis data, including reaction forces and bending moments for a building structure at Wagenmakersstraat Elst, as part of a project by Adviesbureau Bresser BV."
59,9.37,Technical Report,"This technical report contains detailed structural analysis data, likely related to building or civil engineering, including reaction forces, nodal displacements, and equilibrium checks for a specific project structure."
60,11.54,Engineering Report,"This technical report contains detailed structural analysis data, including reaction forces, displacements, and equilibrium checks for a building structure at Wagenmakersstraat Elst. The report lists various points along the structure's axis, showing X, Y, and rotation values, as well as summation results for reaction forces and vertical loads."
61,14.67,Engineering Design Documentation,"This technical document appears to be an engineering design report or specification for a structural component, likely related to a building or construction project. It includes detailed technical data such as material properties, dimensions, and load conditions, as well as a table of material properties and a list of random conditions. The document is specific to a particular project involving a 27-story building at Wagenmakersstraat in Elst, with reference numbers and a date indicating it was prepared on December 19, 1986."
62,11.34,Advisesbureau Bresser BY Project: 27 WON. WAGENMAKERSSTRAAT ELST,"A technical document listing various types of structural elements, their reference numbers, moment values, and last types for different building sections. The document appears to be related to structural engineering or construction planning."
63,10.00,Technical Report,"This technical report contains detailed engineering data for a project involving a specific structure or component, including reference numbers, material types, and calculated values such as moments and last types. The report is likely used for structural analysis or design purposes."
64,10.08,Technical Report,"The document lists maximum translations and rotations in nodes for a structural engineering project, including node numbers, translations in X and Y directions, and rotation values. It also contains a table of nodal displacements and moments in nodes."
65,14.26,Data Table,"The document is a data table titled ""Adviesbureau Bresser BV Project: 27 WON. WAGENMAKERSSTRAAT ELST 86083 ESA 3 scia - Blad 19"" listing various columns such as N/D/M/, IN KNOOPEN, B.O. ST., KNP, NI/NJ, DI/DJ, MI/MJ, with numerical values in each cell."
66,14.30,Financial Report,"This document appears to be a financial report or ledger entry for a project labeled ""27 WON. WAGENMAKERSSTRAAT ELST"" at address 86083 ESA 3 scia - Blad 20, listing various financial transactions or entries in columns labeled N/D/M/ IN KNOOPEN, B.L.G. ST., KMP, NI/NM, DI/DJ, MI/MJ, with numerical values indicating amounts or balances."
67,12.85,Financial Report,"This document appears to be a financial report or spreadsheet listing various financial data points such as B.G., ST., KNP, NI/NJ, DI/DJ, MI/MJ for different entries. The columns likely represent different financial metrics or categories, and the rows seem to be organized by a specific code or identifier. The presence of numbers in scientific notation suggests that this is a technical or accounting document."
68,11.77,Financial Report,"This document appears to be a financial report or data sheet from Adviesbureau Bresser BV, listing various financial metrics such as N/D/M/ in knopen, B.G. ST., KNP, NI/NJ, D1/DJ, MI/MC, and other numerical values related to business operations or project management."
69,9.30,Spreadsheet,"A detailed spreadsheet listing various columns such as B.G., ST., KNP, NI/NJ, DI/DJ, MI/MJ, likely related to financial or technical data analysis."
70,12.00,Technical Report,"This technical report contains detailed data on structural analysis, likely related to a building or construction project, including reaction forces, stiffness values, and equilibrium conditions for various elements. The report is from Adviesbureau Bresser BV, focusing on a specific project at Wagenmakersstraat Elst, with reference numbers and technical parameters listed in columns."
71,12.61,Engineering Report,"This document appears to be an engineering report or technical analysis, likely related to structural engineering, as indicated by the reference to ""Adviesbureau Bresser BV"" and the presence of columns labeled ""SOM VAN DE REACTIES/VEREN"" and ""SOM VAN DE BELASTING,"" which suggest a focus on reaction forces and applied loads in a structural context."
72,11.68,Technical Report,"This technical report contains detailed structural analysis data, likely related to a building or construction project, including reaction forces and stiffness values for various elements such as columns and beams. The report is from Adviesbureau Bresser BV, focusing on the 27 WON WAGENMAKERSSTRAAT ELST project."
73,15.04,Berekening t.b.v. de vloeren van 27 woningen a.d. Wagenmakersstraat te Elst.,"This is a report from Adviesbureau W.J. Bresser b.v. titled ""Berekening t.b.v. de vloeren van 27 woningen a.d. Wagenmakersstraat te Elst."" The report covers the calculation of floor areas for 27 houses located on Wagenmakersstraat in Elst, dated 14 APR 1987."
74,10.24,Engineering calculation sheet,"This technical document from Adviesbureau W.J. Bresser b.v. provides detailed structural engineering calculations for a roof floor in a building project, including load distribution, material properties, and structural analysis for different field configurations."
75,11.62,Engineering calculation report,"This technical report from Adviesbureau W.J. Bresser b.v. calculates structural loadings and moments for a building structure, including calculations for different field configurations and floor types. The report includes detailed mathematical derivations and results for various structural elements, such as beams and columns, under different loading conditions."
76,10.74,Engineering Design Document,"This technical document appears to be an engineering design report or analysis for a structural component, likely related to a bridge or similar structure. It includes details such as material properties, dimensions, node connections, and loading conditions, which are typical elements found in structural engineering documentation."
77,9.62,Engineering calculation sheet,"This sheet contains structural engineering calculations for a project titled 'ELST WAGEN, STF', including nodal forces, reaction forces, and sum values for reactions and loading."
78,11.19,Floor Plan,"The image shows three floor plan layouts labeled as VONING TYPE A, B, and C. Each layout includes detailed room dimensions, furniture placements, and notes indicating kitchen, bedroom, and living area locations. The plans appear to be architectural blueprints for residential spaces."
79,11.58,Floor Plan,"This floor plan shows the layout of a building, including rooms labeled as Type A, Type B, and Type C, with dimensions and notes indicating staircases and doors. The plan is drawn to scale, with measurements in millimeters, and includes a legend for room types and a scale bar."
80,11.80,Floor Plan,"This floor plan shows a building layout with labeled rooms, including rooms marked as Type B and Type C, arranged in two main sections connected by a corridor. The rooms are organized in rows, with some rooms grouped together, possibly indicating shared or similar functions. The plan includes dimensions and reference points for construction purposes."
81,14.22,Architectural elevation drawing,"This technical architectural elevation drawing shows four different elevations of a building, labeled as Oostgevel, Noordgevel, Westgevel, and Zuidgevel, likely for a residential or commercial structure. The drawing includes detailed structural elements such as windows, balconies, and architectural features, indicating a focus on exterior design and construction details. The scale is noted as 1:50, suggesting precise measurements for construction purposes."
82,12.15,Floor Plan,"This is an architectural floor plan of a building, showing detailed layout, rooms, dimensions, and structural elements. The plan includes labeled rooms, windows, doors, and technical notes, likely intended for construction or renovation purposes."
83,11.98,Floor Plan,"This technical floor plan diagram shows the layout of a building, including rooms, dimensions, and structural elements. It is labeled as a technical drawing for architectural purposes, likely related to a building project or renovation."
84,12.41,Architectural elevation drawings,"The image shows detailed architectural elevation drawings of a building, likely for a residential or commercial structure, with various labeled sections including 'Eastside', 'Northside', 'Westside', 'Deerhoek Berging', and 'Zijdeel'. The drawings appear to be technical blueprints, possibly for construction or design purposes."
85,10.64,Floor Plan,"This technical floor plan diagram shows the layout, dimensions, and structural details of a building or room, likely for architectural or engineering purposes."
86,9.74,technical drawing,"Floor plan of a building, showing rooms, dimensions, and structural elements."
87,11.72,architectural floor plan,"This technical drawing shows detailed floor plans for a building, including structural elements such as beams, columns, and stairs, with measurements and annotations in Dutch. The scale is indicated as 1:250."
88,12.81,architectural elevation drawing,"This technical architectural elevation drawing shows detailed structural elements, dimensions, and construction features for a building elevation, likely for a residential or commercial structure. The scale and annotations suggest it is intended for construction purposes, providing precise measurements and structural details for builders or architects."
89,9.59,Blueprint,"This is an architectural or structural engineering blueprint featuring four detailed technical drawings, likely of a building or structural component layout, with various labeled elements and reference numbers."
90,11.64,Engineering Drawing,"This technical drawing appears to be a structural or architectural plan, likely for a building or construction project, showing floor layouts, beams, columns, and possibly electrical or plumbing systems. The detailed technical notes and reference numbers suggest it is intended for construction or engineering purposes."
